listing_id,name,room_type,property_type,accommodates,bedrooms,beds,latitude,longitude,is_superhost,host_listings_count,host_since,neighbourhood,neighbourhood_group,target_price,avg_price,availability_rate,est_revenue,total_reviews,host_tenure_days
1161684843919089653,Appartamento - Oneta,Entire home/apt,Entire rental unit,4,1.0,2.0,45.88623,9.80443,False,1,2019-09-24,Oneta,,64.0,64.0,0.7479452054794521,17472.0,14,2464.0
1163739092627911461,clusone - dosso cascì,Entire home/apt,Entire rental unit,8,2.0,6.0,45.88277,9.967888,False,1,2024-05-24,Clusone,,87.0,87.0,0.33424657534246577,10614.0,10,760.0
1174568978375504909,Terrazza sulle Mura - Sole,Entire home/apt,Entire rental unit,6,2.0,3.0,45.6817,10.01847,False,1,2024-06-08,Predore,,184.0,184.0,0.9561643835616438,64216.0,0,745.0
1182392696152135568,- Bijoux - the terrace on the roofs of the city,Entire home/apt,Entire rental unit,4,1.0,3.0,45.694397,9.689538,,10,2023-10-11,Bergamo,,77.0,77.0,0.9616438356164384,27027.0,100,986.0
1193176009002961582,appartamento van gogh,Entire home/apt,Entire home,4,1.0,3.0,45.8937,9.770954,True,2,2024-04-11,Oltre il Colle,,63.0,63.0,0.7178082191780822,16506.0,17,803.0
1197066140878633911,AR 2-room apartment in city center station,Entire home/apt,Entire rental unit,4,1.0,3.0,45.68946,9.67314,True,15,2022-10-11,Bergamo,,219.0,219.0,0.863013698630137,68985.0,0,1351.0
1197067608634879584,Camera Blu doppia bagno-cucina comune,Private room,Private room in bed and breakfast,2,1.0,1.0,45.68931,9.670949,False,12,2024-07-09,Bergamo,,78.0,78.0,0.4712328767123288,13416.0,7,714.0
1197069655796788682,FEEL - Mille Suites Triple 2 (shared bathroom),Private room,Private room in guesthouse,3,1.0,2.0,45.69498,9.66801,False,43,2021-01-11,Bergamo,,150.0,150.0,0.6904109589041096,37800.0,3,1989.0
1197079608481320861,AR Spacious apartment in center,Entire home/apt,Entire rental unit,5,1.0,3.0,45.68899,9.67269,True,15,2022-10-11,Bergamo,,265.0,265.0,0.8904109589041096,86125.0,1,1351.0
1197081147692834320,Camera Arancio doppia bagno-cucina comune,Private room,Private room in bed and breakfast,2,0.0,1.0,45.68931,9.670949,False,12,2024-07-09,Bergamo,,78.0,78.0,0.410958904109589,11700.0,14,714.0
1198504265813267749,Camera 103 matrimoniale,Private room,Private room in bed and breakfast,2,1.0,1.0,45.703922,9.66338,False,12,2024-07-09,Bergamo,,130.0,130.0,0.4465753424657534,21190.0,1,714.0
1201977537387624077,Niva - Downtown Luxury Home - Bergamo,Entire home/apt,Entire rental unit,4,2.0,2.0,45.69231,9.657791,False,1,2016-05-05,Bergamo,,164.0,164.0,0.9561643835616438,57236.0,6,3701.0
1211628582973365794,Appartamento a Valpiana (bg),Entire home/apt,Entire rental unit,4,2.0,2.0,45.88364,9.740342,False,1,2024-06-29,Serina,,45.0,45.0,0.7315068493150685,12015.0,1,724.0
1214511378344672933,Bergamo Hills Rural House,Entire home/apt,Entire vacation home,2,1.0,1.0,45.74643,9.662715,True,2,2024-07-23,Sorisole,,76.0,76.0,0.11506849315068493,3192.0,2,700.0
1231653976970676004,Dante,Entire home/apt,Entire rental unit,4,1.0,2.0,45.733074,10.047904,False,478,2024-05-14,Parzanica,,8000.0,8000.0,0.4328767123287671,1264000.0,1,770.0
1231659198393727944,Beatrice,Entire home/apt,Entire rental unit,4,1.0,2.0,45.733498,10.048422,False,478,2024-05-14,Parzanica,,8000.0,8000.0,0.4465753424657534,1304000.0,0,770.0
1233901745340410555,La Corte dell’Angelo - Riccardo Room,Entire home/apt,Entire condo,3,1.0,2.0,45.67398,9.6922,True,6,2019-03-08,Orio al Serio,,63.0,63.0,0.6273972602739726,14427.0,94,2664.0
1235408559359139245,"Monolocale Deluxe ""Riccardo""",Entire home/apt,Entire rental unit,4,1.0,3.0,45.60563,9.62204,False,2,2017-08-16,Verdellino,,50.0,50.0,1.0,18250.0,2,3233.0
1237666562024815158,Cozy apartment il balconcino,Entire home/apt,Entire rental unit,4,1.0,2.0,45.68763,9.66863,,85,2021-11-26,Bergamo,,93.0,93.0,0.9397260273972603,31899.0,58,1670.0
1239043390815457668,"Melly House In City Center,Large Apt.+Air Con+WiFi",Entire home/apt,Entire rental unit,4,1.0,2.0,45.69369,9.66714,True,1,2013-03-10,Bergamo,,90.0,90.0,0.2356164383561644,7740.0,16,4853.0
